promotion_id,description,description_en,bad
1NWLA1K9YtdpTVppFiGidio2bBIrhG,"กลับมาตามคำเรียกร้อง กับ โปรโมชั่นใหม่ ไฟลุก กับ13 เมนูเด็ด ฮิตติดดาว  พร้อมแซลมอน คิง เซ็ท ในราคา เพียง 999 บาท (ปกติ 1,499 บาท) ตั้งแต่14 ก.ค61 เป็นต้นไป (หรือจนกว่าของจะหมด)","Back by popular demand with a hot new promotion with 13 delicious, star-studded menus including King Salmon Set for only 999 baht (usually 1,499 baht) from 14 July 2018 onwards (or while supplies last). )",0
1NWLAYkgtkmfvXRun4XxfjLKJacGAb,ช้าหน่อยอร่อยแน่ วันนี้ได้มาทานร้านใจสั่งมา รวมแล้วครั้งที่ 4 เรามาตอน 11.00 โมง คนไม่เยอะมากกว่ารอบที่แล้ว เราสั่งอาหาร 3 อย่าง รอจนถึง 12.30 น. จนคนแน่นร้าน เราหันไปถามเด็กเสริฟทำไมวันนี้นานจัง พอสักพักกลับมาสุดท้าย??? ลืมออเดอร์โต๊ะนี้!!! โคตรโมโม😡😡😡,"It'll be delicious if you take it slow. Today I came to eat at the restaurant that I ordered. In total, this is the 4th time. We came at 11:00 a.m., there were not many people than the last time. We ordered 3 dishes and waited until 12:30 until the restaurant was crowded. We turned and asked the waiter why the day had taken so long. After a while, he finally came back??? Forgot to order this table!!! Super momo 😡😡😡",1
1NWLCFftmivU23XbJVCsQlEmfDmHbP,,,1
1NWLCfFj2udYDleXqCsUniTQDOyaQ4,เพียงท่าน เชคอินที่ร้าน Tid Doi Tid Din Cafe' รับส่วนลด 5% ค่าอาหารทันที เมื่อทานที่ร้าน,Just check in at Tid Doi Tid Din Cafe' and receive a 5% discount on food immediately. When eating at the restaurant,0
1NWLCFY3QD1iQ1gyDUJkGvIT7Kzybw,"Cold brew , Drip Coffee.","Cold brew, Drip Coffee.",1
1NWLBe90DybXcTaho2xkosX1pzuLPw,"🌋 ฟรี! น่องไก่กรอบ 1 กระปุก มูลค่า 65 บาท







 🍞🍹 เมื่อสั่งขนมและเครื่องดื่ม ครบทุก 300 บาท ผ่าน Line Man​ 🏍️","🌋 Free! 1 jar of crispy chicken drumsticks, valued at 65 baht







 🍞🍹 When ordering snacks and drinks for every 300 baht via Line Man​ 🏍️",0
1NWL9sVr5Gg7nWrRGQY12uwHrS2Pv1,"ปูม้าผัดผงกระหรี่ ปูม้าเนื้อแน่น ผัดกับเครื่องปรุงรสชั้นเลิศ ปกติราคา 1,500 บาท เหลือเพียง 1,000 บาท  เมื่อชำระด้วยเงินสด





","Stir-fried blue crab with curry powder Firm blue crab Stir-fried with the finest seasonings, normally priced at 1,500 baht, now only 1,000 baht when paying in cash.





",0
1NWLD0zBYOL1BG0eWi0EeebmiBOED3,รับสั่งทำทุกเมนู  สั่งเยอะส่งฟรี อาหารตามสั่งทำได้หมด,"Accepting orders for all menus Order a lot, free delivery. All food can be made to order.",1
1NWLAzYKW9fCGGD7x4vg41hpogRteS,"Check in #หูฉลามนายตือ ของแท้ต้องอารมณ์เสีย ในช่องทางFacebook หรือ อินตราแกรม 





และรีวิว ผ่าน Wongnai แล้วแคปหน้าจอให้ดูด้วยนะคะ





#แจกน้ำอัดลม 1ขวด/1ท่าน","Check in #Nai Tue's shark fin Genuine must be upset. On Facebook or Instagram channels





and review through Wongnai and take screenshots for you to see as well.





#Give away 1 bottle of soft drink/1 person.",1
1NWL9nLWSkUoRFGE6bSlBjYwFu9Bso,ลูกค้า AIS รับส่วนลด20บาท เมื่อสั่งเครื่องดื่มทุกชนิด 1เบอร์/4สิทธิ์/เดือน จำกัดสิทธิ์ 200แก้วต่อวัน,"AIS customers receive a 20 baht discount. When ordering any kind of drink 1 number/4 rights/month, limited to 200 glasses per day.",0
1NWLCaIkHtXcvTKXYtZROwfGHkgfMp,"จ่าย850 รับ 1000 เฉพาะอาหารและเครื่องดื่ม ได้พวงกุญแจด้วย!!


เคล็ดลับ!วันนี้มาทานตั้งแต่หกโมงเย็น. น้องพนักงานเสิร์ฟเชียร์ให้เช็คบิลก่อน 21.30น.ได้ลด 15%. ค่าอาหาร ก่อนกลับน้องเชียร์เช็คบิลกับวีไอพีการ์ด เงินเหลือเก็บไว้ใช้ได้ มาซีทรูรอบนี้คุ้มสุดๆ","Pay 850 get 1000 only for food and drinks. Got a keychain too!!


Tip! Come eat today from 6 p.m. The young waitress encourages you to check your bill before 9:30 p.m. to get a 15% discount on the food bill. Before leaving, the young waitress encourages you to check your bill with the VIP card. The remaining money can be kept for use. Come see through this time, it's really worth it.",1
1NWLCcHkfj1xHrU26Gcob4DONX9GRC,ตำมะม่วงทะเลปลากรอบ,Seafood Mango Salad with Crispy Fish,1
1NWLBBwE9aB1od8QhsUsDHs6XYJYQr,โปรโมชั่นสำหรับเดือนสิงหาคมนะคะ,Promotion for August.,0
1NWLCG2qE9hVH4C1BCBUXcCHzxkDYR,,,0
1NWLCAU3sPrORocBz771DUK6Qt6jg9,ปลากระพงลวกจิ้ม น้ำจิ้มรสเด็ด,Boiled Sea Bass with Dipping Sauce Delicious dipping sauce,1
1NWLCqyXGwE1OTmGkyCbKCURC3vqLh,Check in รับ กาแฟออร์แกนิค หรือ ปังปิ้งสังขยา,Check in and receive organic coffee or Pang Ping Custard.,0
1NWLDJN7xh5DrbYo7Z29IXxHmvEsfP,"โปร ""จ่ายตามความพอใจในรสชาติ""  อร่อยมากจ่ายมาก อร่อยน้อยจ่ายน้อย","""Pay according to taste satisfaction"" promotion. Very delicious. Pay a lot. Delicious, less, pay less",0
1NWLBy1buUqyPUcCWDwEviKwayXvwn,"🚩สำหรับลูกค้าที่ไม่มีเวลามาทานที่ร้าน อยู่ต่างอำเภอหรือต่างจังหวัด เพื่อให้ไม่พลาดความอร่อย ทางร้านมีบริการส่งให้ถึงหน้าบ้านกันเลยทีเดียว 🚩







🎉🎉🎉 ราคาขายปลีก 🎉🎉🎉



🐽 หมูกรอบ พร้อมน้ำจิ้ม 2 อย่าง ชุดละ 100 บาท  🐽



🐽 หมูกรอบชาชู พร้อมน้ำจิ้ม 2 อย่าง ชุดละ 120 บาท  🐽







🤔ได้รับหมูกรอบแล้วเก็บรักษายังไง?🤔



-แช่ตู้เย็นช่องธรรมดา อยู่ได้7วัน ช่องแช่แข็ง อยู่ได้ 1 เดือนจ้า







🚖ค่าส่งเริ่มต้นที่ 50 บาท จัดส่งด่วนผ่านKerry Express



☑️สนใจสั่งหมูกรอบ 



#inboxหรือโทร0945169795



#Line:@msy5008q



#พิกัดร้าน : ดอนนก 37 ทางไปสนามกีฬา



#วันและเวลาที่เปิดบริการ วันอังคาร-อาทิตย์ ตั้งแต่เวลา 10.00-20.30 น.



#หลงแต่เตี้ยมหมูกรอบชาชู #หมูกรอบชาชูสุราษฎร์ธานี #หมูกรอบชาชู #หมูกรอบ 



#IG:hlngtaeteiymsurat #FB:@HlngtaeteiymSurat","🚩For customers who don't have time to eat at the restaurant. Live in different districts or provinces So that you don't miss out on deliciousness The shop has a delivery service right to your doorstep 🚩







🎉🎉🎉 Retail price 🎉🎉🎉



🐽 Crispy pork with 2 dipping sauces, 100 baht per set 🐽



🐽 Crispy pork chashu with 2 dipping sauces, 120 baht per set 🐽







🤔When you receive crispy pork, how do you store it?🤔



-Keep in the refrigerator for 7 days, in the freezer for 1 month.







🚖Delivery fee starts at 50 baht, express delivery via Kerry Express.



☑️ Interested in ordering crispy pork?



#inbox or call 0945169795



#Line:@msy5008q



#Shop location: Don Nok 37, way to the stadium.



#Days and times when service is open Tuesday-Sunday from 10:00 AM - 8:30 PM.



#Long Tae Thiam Crispy Pork Chashu #Crispy Pork Chashu Surat Thani #Crispy Pork Chashu #Crispy Pork



#IG:hlngtaeteiymsurat #FB:@HlngtaeteiymSurat",1
1NWLAsmut2NmWx2VHJeXrWNnKT0Pek,"เซทนี่ 320


","Sethi 320


",1
1NWLAFPslVluyqEsEsUEswKVEkDyTw,พิซซ่า ลด50%,Pizza 50% off,0
1NWLBbxOVtzC8agHaFsGJoPtADQ0OE,"Save the World 



รับส่วนลด 5 บาท เมื่อซื้อเครื่องดื่ม มูลค่า 55 บาทขึ้นไป และนำแก้วมารับเครื่องดื่มเอง  



ได้ที่ ราบิกาจันทอุดมสาขาระยองในเมือง1 ในปั๊มซัสโก ถนนจันทอุดม จ.ระยอง



#ราบิกาจันทอุดม","Save the World



Get a 5 baht discount when purchasing a drink worth 55 baht or more and bringing your own glass to pick up your drink.



At Rabiga Chan Udom, Rayong branch in Mueang 1, in Susco gas station, Chan Udom Road, Rayong Province.



#Rabika Chan Udom",0
1NWLAfBWyPp15xY3n4LCCqz4xNpg6A,,,1
1NWLCW0uV8V75hMoRSANZkeCggjmNb,"ซื้อง่ายด้วย K+ จากธนาคารกสิกรไทย



*ลูกค้ามาครบ 4 ท่านขึ้นไป รับเงินคืนเข้าบัญชี 100บาท



#เงินเข้าเช้าของวันถัดไป โปรโมชั่นดีๆ ...เราจัดให้ สงวนสิทธิ์เฉพาะลูกค้าที่พึ่งเคยซื้อผ่านแฟนเพจครั้งแรกเท่านั้น 😆







😍แชทหน้าแฟนเพจร้านเท่านั้น เลยคลิก!!! 🗨️ http://m.me/Muanfanbuffet



หมายเหตุ : บุฟเฟ่ต์ คนละ 99บาท (ไม่รวมเครื่องดื่ม)



ร้านเหมือนฝันหมูจุ่ม99 Checkin for ร้านเหมือนฝันหมูจุ่ม บุฟเฟต์99 by www.facebook.com/Muanfanbuffet/","Easy to buy with K+ from Kasikorn Bank



*Four or more customers will receive a refund of 100 baht into their account.



#Money comes in the morning of the next day. Good promotion...we can arrange it. Reserve the right only for customers who have just bought through the fan page for the first time 😆







😍Chat only on the shop's fan page, so click!!! 🗨️ http://m.me/Muanfanbuffet



Note: Buffet 99 baht per person (drinks not included)



Muanfan Moojum Buffet 99 Checkin for Muanfan Moojum Buffet 99 by www.facebook.com/Muanfanbuffet/",0
1NWLB25GlyoYe1iRs1MvdI2w6wEcY8,โปรโมชั่น 199.-/ท่าน (ปกติ 299.-) *ไม่รวมเครื่องดื่ม,Promotion 199.-/person (normally 299.-) *Drinks not included.,0
1NWLAymcRjqkSvBhKxrRUY6zECelO0,"ต้อนรับเทศกาลวันแม่ 


โทรจองโต๊ะล่วงหน้าภายในวันที่ 10 ส.ค. 


เพื่อพาแม่มาทานในวันแม่ อาทิตย์ที่ 12 ส.ค. นี้


รับเค้กทานฟรี!!! ไปเลยค่ะ


Tel. 0820862388","Welcome Mother's Day Festival


Call to reserve a table in advance by August 10th.


To bring mom to eat on Mother's Day this Sunday, August 12th.


Get free cake!!! Let's go.


Tel. 0820862388",0
1NWLCwuwvKOi0tXTlIyCD23PYfVZOs,ทุกวันอังคาร Promotion สุดพิเศษ วันอังคาร PEPSI 9 บาทเท่านั้น ไม่ว่าจะทานกับเมนูไหนก็อร่อย นอกจากอาหารรสชาติถูกปาก ราคาแป๊บซี่ยังถูกใจ มีที่ ที่เดียว,"Every Tuesday, special promotion, Tuesday PEPSI, only 9 baht, no matter what menu you eat, it's delicious. In addition to delicious food The price of Pepsi is still good. There is only one place.",0
1NWLBtvyYdVDhTofiJNSJu8R5WFblM,,,1
1NWLBWucNg83ofs2dNuYLipOorEMIa,กด like และ แชร์โพส รับฟรีเบีย์ 1 ขวด,Press like and share the post to receive a free bottle of beer.,1
1NWLCd0KWiSzxmlywbHW45UTMJ5tTG,วันนี้มีเมนูพิเศษ บะหมี่ต้มยำกุ้ง หมูแดง หมูกรอบ อร่อยเหาะ,"Today there is a special menu. Shrimp tom yum noodles, red pork, crispy pork, very delicious.",1
1NWLAAUwKNzoHrW8LjcKxIl2mTfqnv,10 ฟรี 1,10 free 1,0
1NWL9vcdcdV7PFS846YprVVLE6OrnM,ฉลองเปิดร้าน วันพุธ ด้วยโปรโมชั่น ซื้อ 2 แถม 1 เครื่องดื่มทุกชนิด ตลอดทั้งวัน และวันอื่นๆ ตั้งแต่ 11.00-15.00,Celebrate the opening of the store on Wednesday with a promotion: buy 2 get 1 free on all kinds of drinks all day and on other days from 11:00 a.m. - 3:00 p.m.,0
1NWLBCOf4SrBRcJT61cwwbvFLesRHl,,,0
1NWLBDAyJOhlHnUusCmTf60uZgw1i6,"#สุขสันต์วันแม่แห่งชาติ 💝 ส่วนลดค่าอาหาร 20%





♥️รักแม่ 💓 พาแม่มาทานอาหารอร่อยกัน





#ร้านอาหารเรือนนลิน9909เชียงราย





#สุดยอดร้านอาหารในจังหวัดเชียงราย","#Happy Mother's Day 💝 20% discount on food





♥️Love Mom 💓 Bring Mom to eat delicious food.





#Ruean Nalin Restaurant 9909 Chiang Rai





#Best restaurant in Chiang Rai province",1
1NWLDJR3i3xWIquoO7c7SyQSQqQrAn,"เมนูเมี่ยงปลาเผา จากราคา 200.-บาท 


ลดเหลือชุดละ 129.-บาท","Grilled fish miang menu from 200.- baht


Reduced to 129.- baht per set.",0
1NWLBqnyWanMBQApuOtkrDdxWot2oC,"โปร มาแล้วจ้า ซื้อ 1 แถม 1 กลับมาตามคำเรียกร้อง


ไม่ต้องรอวันอังคาร เพราะ ""ซื้อได้ทุกวัน""


สั่งไซส์ไหน ""แถมไซส์นั้น""


ตั้งแต่วันที่ 18 สิงหาคม - 13 กันยายนนี้


.


👍 ซื้อพิซซ่าถาดใหญ่ แถม ถาดใหญ่


👍 ซื้อพิซซ่าถาดกลาง แถม ถาดกลาง


👍 ซื้อพิซซ่าชีสระเบิด แถม พิซซ่าชีสระเบิด (หรือเลือกเป็นพิซซ่าถาดกลางแทนได้)


❣️เงื่อนไขโปรโมชั่น


- โปรโมชั่นนี้สามารถเลือกหน้าได้ในหมวดดีลักซ์ พรีเมี่ยม และซีฟู้ด


- ถาดที่แถมต้องมีราคาต่ำกว่า หรือเท่ากับถาดที่ซื้อ


- โปรโมชั่นนี้ไม่รวม พิซซ่าถาดเล็ก / พิซซ่าหมวดเอ็กซ์เพรส ฮาฟแอนด์ฮาฟ / แป้งกลูเต็นฟรี


.","Promotion has arrived. Buy 1 get 1 free. Come back as requested.


No need to wait for Tuesday because ""you can buy it every day""


Order any size and get that size free.


From 18 August - 13 September


.


👍 Buy a large pizza and get a large tray free.


👍 Buy a medium pizza and get a medium tray free.


👍 Buy a Cheese Explosion Pizza and get a Cheese Explosion Pizza free. (Or you can choose a medium pizza instead)


❣️Promotion conditions


- This promotion can be selected in the Deluxe, Premium, and Seafood categories.


- The free tray must have a lower price. or equal to the purchased tray


- This promotion does not include Small pizza / Express category half and half pizza / Gluten free dough


.",0
1NWLBHR9n3vlPDFdYm6rSVDW3xk3bs," Promotion สุดว้าว!!! มา 4 จ่าย 2 สำหรับบุฟเฟต์ที่ฟีสท์ ตลอดเดือนสิงหาคมนี้ 



✔บุฟเฟต์นานาชาติมื้อกลางวัน (ทุกวันจันทร์ - เสาร์ 12:00 น. – 14:30 น.) ราคา 790++ บาท/ท่าน



✔บุฟเฟต์นานาชาติมื้อค่ำ (ทุกวันอาทิตย์ - อังคาร 18:00 น. – 22:00 น.) ราคา 1,090++ บาท/ท่าน 



✔บุฟเฟต์อาหารญี่ปุ่น (ทุกวันพุธ - พฤหัสบดี 18:00 น. – 22:00 น.) ราคา 1,250++ บาท/ท่าน 



✔บุฟเฟต์บาร์บีคิวและซีฟู้ด (ทุกวันศุกร์ - เสาร์ 18:00 น. – 22:00 น.) ราคา1,400++ บาท/ท่าน



✔ซันเดย์บรันช์ (ทุกวันอาทิตย์ 11.30 น. – 15.00 น.) ราคา 2,000 บาทเน็ต/ท่าน"," Very wow promotion!!! Come 4, pay 2 for the buffet at Feast. Throughout this August



✔International buffet lunch (Every Monday - Saturday 12:00 - 14:30) Price 790++ baht/person.



✔International buffet dinner (Every Sunday - Tuesday 18:00 - 22:00) Price 1,090++ baht/person.



✔Japanese food buffet (every Wednesday - Thursday 6:00 p.m. - 10:00 p.m.) price 1,250++ baht/person



✔BBQ and seafood buffet (every Friday - Saturday 6:00 p.m. - 10:00 p.m.) price 1,400++ baht/person



✔Sunday Brunch (Every Sunday 11.30 a.m. - 3.00 p.m.) Price 2,000 baht net/person.",0
1NWLDKv6TVOxdV4Re6XiVhVEXkHejX,ภาพนี้คือฟิเลมิยองที่ผมเอาจากเวปของต่างประเทศเผื่อคนจะเข้าใจผิดว่าฟิเลมิยองจะต้องพันเบคอนนะครับ เขาขายกันแค่นี้ละครับ,This picture is filet mignon that I took from a foreign website in case people misunderstood that filet mignon must be wrapped in bacon. They only sell this one.,1
1NWLA0nj3Wcjj99L8AbPEv3oC2gP5W,Early Bird Promotion!! โปรโมชั่นสำหรับคนตื่นเช้า รับส่วนลด 15% เมื่อสั่งอาหาร ทุกวันจันทร์-ศุกร์ ตั้งแต่เวลา 6.00-10.00 น. เฉพาะที่ร่วมรายการ,Early Bird Promotion!! Promotion for early risers: get 15% discount when ordering food. Every Monday - Friday from 6:00 a.m. - 10:00 a.m. only at participating programs.,0
1NWLCJ1ixdlfD5IoQWL6ArO5iTmRWH,,,1
1NWLCDmqwOpP6YB0uUWcnwTKwmMg6J,,,1
1NWLD58HprzPikSbp3x9xVgNAVIGrS,"บัตรเครดิตกรุงศรี แหนมเนืองใหญ่ลด 30% 


จากราคา 275 เหลือเพียง 195 บาท ","Krungsri credit card Nam Nueng Yai 30% off


From the price of 275 to only 195 baht",0
1NWLD4GtdyVrechPxvQ4BYHCzLBwFX,,,0
1NWLC6OYVXlctRSASknxqT5hB3xwL5,"สั่งผ่านLineman...วันนี้...


ไม้ละ10..จัดหนักให้เลย5 ไม้ ฟรี1ไม้


ไม้ละ7จัดให้เช่นกันครบ100บาทแถมฟรี2ไม้...


","Order via Lineman...today...


Each stick is 10..get 5 sticks and get 1 free.


Each stick is 7, also provided for 100 baht, get 2 sticks free...


",0
1NWLChdj5pRDAsrP9c5Mw1SXv8JWFL,"เบียร์ลับราคาพิเศษเพียงขวดละ99บาท


ราคาเบียร์นอกลดยกตู้ 9.9%


ในวันที่ 9,19,29 กันยายนนี้


3 วัน 3 ยี่ห้อไม่ซ้ำ รับรองคุ้มสุดๆๆๆ


(ถ้าอยากทราบรอลุ้นได้ที่ร้านเท่านั้น) 


เบียร์ลับราคาพิเศษเพียงขวดละ99บาท","Secret beer, special price, only 99 baht per bottle.


Prices of foreign beer reduced by 9.9%


On September 9,19,29


3 days, 3 unique brands, guaranteed great value.


(If you want to know, wait and see at the store only)


Secret beer, special price, only 99 baht per bottle.",1
1NWLCMGucWFRpxVqDL0Z4TPKeiHh2K,จัดไปตามคำขอ โปรประจำเดือนนี้ครับ,Arranged according to request. Promotion for this month.,0
1NWLBkrGN30qvOD2bom7U3fhLWFM26,"เมนูปูทุกชนิด ราคาเดียว 1,099฿/kg.","All types of crab menu, one price 1,099฿/kg.",1
1NWLBTZzvVgnFVq1r4jVcqUJucWmkf,แทนคำขอบคุณ ลูกค้าทุกท่านที่ใช้บริการและกรุณาเสียสละเวลาเข้าร่วมรีวิวร้าน ในการใช้บริการครั้งต่อไปทุกชุดที่ท่านซื้อแถมฟรี 5 ไม้,"As a thank you to all customers who have used the service and kindly sacrificed the time to participate in the restaurant review. On your next use of the service, every set you purchase will receive 5 sticks free.",1
1NWLC1TjpGc7Zn5Jnig785PFbAP7Qg,,,1
1NWLBIHc7xXzorQJo0yZ4zLc0lCRmu,"มีโปรโมชั่นยั่วใจมากบอก! เอาใจคนรักอาหารซีฟู้ด โดยเฉพาะกุ้ง 🦐



กุ้งแม่น้ำเผาตัวใหญ่เนื้อหวาน สั่งแล้วลดเลย 50% ! จากตัวละ 900 บาท เหลือเพียง 450 บาทเท่านั้น!! ทานคู่กับน้ำจิ้มรสเด็ดเปรี้ยว  แซ่บตามแบบฉบับซีฟู้ดแท้ๆ 😋



มันกุ้งเยิ้มๆ เนื้อแน่นๆ เคี้ยวหนุบเนื้อหวาน มาทานกันได้ตั้งแต่วันที่ 1 ส.ค. - 30 ก.ย. 2561







หมายเหตุ โปรโมชั่นมีทุกๆ วันจันทร์ถึงศุกร์เท่านั้น","There is a very tempting promotion! To please seafood lovers, especially shrimp 🦐



Large grilled river prawns with sweet meat Order now and get 50% off! From 900 baht each, only 450 baht left!! Eat with a delicious and sour dipping sauce. Delicious in the style of authentic seafood 😋



Shrimp is greasy, firm, chewy, and sweet. Come eat from 1 August - 30 September 2018.







Note: Promotions are available every Monday to Friday only",0
1NWLA3wsvYKz4Rhyp75LluiLwIeFlJ,"โปรโมชั่น หมูหันฮ่องกงกับราคาสุดพิเศษ เพียง 1,490 บาท(จากปกติ 2,200 บาท) * กรุณาจองล่วงหน้า 1วัน เฉพาะทานที่ร้านเท่านั้น*","Hong Kong suckling pig promotion with a special price of only 1,490 baht (from normal 2,200 baht) * Please reserve 1 day in advance, only for eating at the restaurant *",0
1NWLCFMChkrnkl7OnANkbJwNVBfnHb,กระเพราเนื้อไข่ดาว65บาท เนื้อเยอะมากก กินยังไงให้กับเหลืออ😂👍,Beef basil with fried egg 65 baht There's a lot of meat. How to eat for leftovers 😂👍,1
1NWLCIbzFRCTtauMBsvgz7JWhD0AhZ,"


",,1
1NWLCRXoiN1Bi07xRMX6lDyF0o0K9O,ลด 15% ตามเงื่อนไข,15% discount according to conditions,0
1NWLCOz2faEQI5ZxgR0Vt1dGr5Mt2d,"ลูกค้า AIS อย่าลืมไปใช้สิทธิ์กันน๊าา เพียงแค่กด *545*536# แล้วกดโทรออกก็สามารถรับสิทธิ์ส่วนลด 50 % ในการซื้อเมนูชีสเค้กและเครื่องดื่มราคาไม่เกิน 125.- 







เงื่อนไขการรับสิทธิ์



• ไม่สามารถแคปหน้าจอมาเพื่อยืนยันสิทธิ์ได้



• 1 เลขหมาย / 1 สิทธิ์ / 1เดือน



• สำหรับลูกค้า AIS ที่มียอดค่าใช้จ่าย 300.- ต่อเดือนขึ้นไป","AIS customers, don't forget to use your rights. Just press *545*536# and press call to receive a 50% discount on cheesecake menus and beverages priced not more than 125.-.







Conditions for receiving rights



• Cannot capture the screen to confirm rights.



• 1 number / 1 right / 1 month



• For AIS customers with expenses of 300.- per month or more.",0
1NWLDJSeqFqBxuw36KhXSLFzHv0WFs,"Update โต๊ะว่างค่ะ มาร่วมสนุก พร้อมร่วมทำบุญด้วยกันนะค่ะ กับกิจกรรม #บ้านหมี่ดนตรีเพื่อสังคม ครั้งที่ 1 พบกันกับ #มาลีฮวนน่า เต็มวง ในวันศุกร์ที่ 23 พฤศจิกายน 2561 จองโต๊ะได้ในราคา 2,000,1,800,1,500฿ สอบถามรายละเอียดเพิ่มเติม 📱089-5155959","Update: Tables are available. Come join in the fun and join in making merit together with the 1st #Baan Mee Music for Society activity. Meet with #MaliJuanna full circle on Friday, November 23, 2018. You can reserve a table at a price. 2,000,1,800,1,500฿ Ask for more details 📱089-5155959",1
1NWLBkilsItVHqqx4lD7VMGQb0ZUMW,โปรโมชั่นฉลองวันเกิดลด 10% สำหรับการชำระเงินสด และลด 5% สำหรับบัตรเครดิต,Birthday promotion: 10% discount for cash payments and 5% discount for credit cards.,0
1NWLCIGFXmLOrNvV5X3MPqiSkiD11K,"ซื้อ 2 แถม 1


เวลา 5 โมงถึง 3 ทุ่ม


ตลอดเดือนกันยายน


วันจันทร์ถึงวันศุกร์","Buy 2 get 1 free


Time 5 a.m. to 9 p.m.


Throughout September


Monday to Friday",0
1NWLClsnTfwVqegn3OIKReOlWYFyRG,,,1
1NWLBe9ic6OcUHIOiyra3W9LZsKG79,Indique is celebrating Eid by offering 20 % discount off the price from 21-24 August!,Indique is celebrating Eid by offering 20 % discount off the price from 21-24 August!,0
1NWLAIIpaXuxukoKQejWcJ7stTReGv,,,1
1NWLBLGZktQ9ngvYmsthtTmn7gwqrd,"โปรโมชั่น ลด 20% จากราคาปกติ 299 เหลือ 239 บาท



บุฟเฟ่ปิ้งย่าง หม้อไฟเกาหลี ","Promotion: 20% discount from normal price 299 to 239 baht.



Grill buffet, Korean hot pot",0
1NWLBWE8zFCYloOifdyoWKmsGjOHXa,Promotion เป็ดปักกิ่ง 999.- จันทร์-ศุกร์ *ยกเว้น วันนักขัตฤกษ์และหยุดชดเชย* ของดีจริงต้องบอกต่อ!,"Promotion Peking duck 999.- Monday-Friday *except public holidays and compensatory holidays* Really good stuff, must tell others!",0
1NWLBm8AJWOtlKHIoIJQ7PabnAcsrY,"🎉ลูกค้าที่มาจากWongnai ทางร้านกวงทะเลเผาซอยรางน้ำ มอบโปรโมชั่นพิเศษสุด ลด10% เมื่อมียอดทานอาหารครบ1,000บาทขึ้นไปค่ะ #ร่วมรายการเฉพาะสด #ลดเฉพาะอาหารไม่รวมเครื่องดื่ม  #เฉพาะสาขาซอยรางน้ำเท่านั้นนะคะ เริ่มตั้งแต่วันนี้จนถึง31/09/61


เพียงแจ้งกับพนักงานค่ะ","🎉Customers from Wongnai Kuang Talay Pao Soi Rangnam restaurant Offering a very special promotion: 10% discount when dining totals reach 1,000 baht or more. #Participate in only live programs #Discount only on food, excluding drinks. #Only at Soi Rangnam branch. Starting today until 31/09/18


Just inform the staff.",0
1NWLC4Nh1CN1RKo475YglzBpMfY6nQ,"Enjoy A la carte menu or Peking Duck with 20% off exclusively for online booking at Xin Tian Di award winning restaurant with great ambience and service.







⏰ Lunch: 11.30 – 14.30 Hrs



⏰ Dinner: 18.30 – 22.30 Hrs.



📍 Xin Tian Di Chinese Restaurant 22nd floor



      Promo code : xtd20







More details and reservations at https://goo.gl/rVWPyb","Enjoy A la carte menu or Peking Duck with 20% off exclusively for online booking at Xin Tian Di award winning restaurant with great ambience and service.







⏰ Lunch: 11.30 – 14.30 Hrs.



⏰ Dinner: 18.30 – 22.30 Hrs.



📍 Xin Tian Di Chinese Restaurant 22nd floor



      Promo code : xtd20







More details and reservations at https://goo.gl/rVWPyb",0
1NWLBIumqxWbNF0L0ixMw5vJI5a9EA,"โปรวันเกิด ลด 25%



• โปรโมชั่นวันเกิด ลด 25% สำหรับเจ้าของวันเกิดในเดือนสิงหาคมที่มาทานที่ไดอิจิ **โดยไม่จำเป็นต้องตรงวัน 



• ใช้สิทธิ์ลดภายในเดือนเกิดได้เพียง 1 ครั้งเท่านั้น



ติดต่อสอบถาม-จองห้องอาหารโทร



02-276-4567","Birthday promotion 25% off



• Birthday promotion: 25% off for those with birthdays in August who come to eat at Daiichi. **No need to be on the same day



• You can use the discount within your birth month only 1 time.



Contact for inquiries - restaurant reservations call



02-276-4567",0
1NWLAA25nSZ6CxesVi8PqUC8TFQHfJ,ซื้อ 1 แถม 1 เมี่ยงหมูย่างเจ้าคุณ มูลค่า 150บาท รับประทานคู่กับซอสบาบีคิวพริกไทยดำ,"Buy 1 get 1 free grilled pork miang, valued at 150 baht, eaten with black pepper BBQ sauce.",0
1NWLBmjayELY0nkczqBmFGW4JnAdGZ,ถ่ายรูปเช็คอิน แถมเฟรนฟราย ฟรี,Take a photo at check-in and get free French fries.,0
1NWLDLdOPt1es3sNs9T8ERLxOkLlNt,,,1
1NWLDFMltN9rWhX0joXQ1spyKnsneq,10ไม้ แถม1ไม้,"10 sticks, get 1 stick free",1
1NWLCwrEBwxqTRPguMKIiTtzplGkQE,,,1
1NWLD6bkBitKbabMXQNwvH7ACzNFSa,,,1
1NWLBFBOzWNz9Xt8tM8bgZIxsLyZuJ,,,1
1NWLACmSxEurLJM3rqUh6MqITpSReg,,,1
1NWLCThcNEjuqGGrlsy92tqhoUzL6i,โปรโมชั่นปลากระพงทุกตัวลดราคาจาก350บาทเหลือ250บาทตลอดสิ้นเดือนนี้,Promotion for all sea bass reduced from 350 baht to 250 baht through the end of this month.,0
1NWLCMwVDTzx7Tv0yrdl350QzfpKgB,,,1
